NOOTKA POINT LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE SALINITIES (PSU),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1934,27.45,999.99,999.99,999.99,999.99,999.99,999.99,29.57,29.71,25.67,20.59,23.92
1935,20.38,20.06,23.26,27.67,29.32,26.55,28.59,30.13,28.34,25,27.66,22.26
1936,23.98,28.73,24.6,23.42,25.46,25.82,24.53,29.35,29.44,28.41,24.08,999.99
1937,30.98,28.19,24.22,23.02,21.86,24.21,27.78,27.9,29.17,23.91,21.4,22.84
1938,23.45,27.09,24.73,24.81,27.14,28.13,30.7,31.58,30.98,26.68,23.42,23.96
1939,999.99,26.69,28.07,26.28,25.72,26.57,26.2,30.88,28.52,26.21,17.8,20.19
1940,24.97,23.2,21.09,25.31,25.95,30.65,30.82,29.07,27.79,21.95,24.68,20.78
1941,22.91,23.59,25.77,27.86,24.62,27.51,30.38,30.93,27.1,22.77,24,21.08
1942,26.68,26.41,23.35,25.93,25.24,27.11,28.94,31.1,29.89,24.65,25.28,22.32
1943,27.45,26.41,27.21,23.47,26.53,28.26,29.17,29.52,29.37,26.35,26.78,25.07
1944,21.47,28.41,27.25,27.7,28.98,30.52,31.63,31.6,30.61,26.06,21.78,26.95
1945,24.72,25.68,25.78,26.24,23.78,26.24,28.21,30.53,29.69,28.97,26.6,24.89
1946,20.97,23.75,21.54,23.6,22.73,24.06,27.25,28.71,28.12,26.73,28.23,21.75
1947,24,22.81,26.2,25.98,25.82,27.2,24.21,29.85,29.76,22.07,25.04,23.46
1948,25.06,26.42,27.53,27.09,24.35,24.18,29.14,30.15,24.51,23.84,23.69,24.81
1949,28.09,28.27,23.73,21.86,23.17,28.4,29.49,26.52,27.34,25.71,24.55,25.61
1950,26.53,24.05,22.85,23.58,24.33,23.49,26.53,29.41,29.15,23.74,20.93,21.92
1951,25.92,25.19,28.39,27.05,23.31,27.79,30.47,31.18,30.79,25.28,24.94,25.05
1952,29.07,19.68,27.9,21.01,20.95,23.56,26.76,29.19,28.86,27.83,25.63,23.39
1953,19.17,20.42,25.59,25.52,22.16,26.17,999.99,999.99,999.99,999.99,999.99,999.99
1954,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1955,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1956,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1957,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1958,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1959,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1960,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1961,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1962,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1963,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1964,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1965,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1966,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1967,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1968,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1969,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1970,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1971,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1972,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1973,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1974,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1975,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1976,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1977,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1978,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1979,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1980,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1981,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1982,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1983,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1984,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1985,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1986,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1987,999.99,999.99,999.99,25.28,26.8,26.6,30.32,32.03,30.86,31.64,23.19,26.91
1988,27.68,25.26,26.96,26.13,24.96,27.07,29.26,31.1,31.52,26.6,23.6,25.28
1989,26.42,29.49,28.26,25.17,27.53,29.04,29.83,31.37,32.01,26.76,23.75,23.51
1990,26.2,27.08,26.3,26.31,29.57,28.2,29.9,32.22,32.13,25.56,19.76,23.66
1991,25.96,21.11,28.78,28.32,29.29,31.4,31.45,28.48,28.21,32.29,24.86,24.18
1992,23.32,23.06,27.75,28.83,29.75,31.64,32.25,32.31,31.86,26.62,24.79,27.5
1993,29.64,25.7,26.53,25.25,24.24,26.68,30.11,29.98,31.01,31.05,26.36,24.29
1994,23.57,24.75,22.9,24.59,28.11,28.06,29.62,30.38,29.34,27.93,22.76,23.15
1995,25.91,21.26,24.52,26.91,28.9,28.22,30.21,29.76,30.32,21.68,21.6,21.22
1996,21.82,24.93,26.59,21.5,26.73,28.26,30.43,31.47,29.34,26.35,24.63,26.05
1997,20.61,24.34,23.81,22.52,23.76,21.51,26.1,28.27,25.76,22.99,22.38,22.49
1998,22.84,23.44,23.97,27.46,27.44,29.13,28.87,29.26,30.05,26.33,23.69,23.66
1999,21.95,23.62,24.97,25.23,23.11,22.25,26.14,25.71,28.11,28.08,22.06,21.91
2000,24.71,26.01,25.47,26.53,25.31,27.12,28.26,27.86,27.63,25.57,26.49,24.99
2001,26.07,27.17,27.23,26.21,25.01,25.56,28.93,27.76,27.68,24.77,18.87,25.97
2002,23.04,26.23,28.22,24.83,29.42,27.23,28.66,30.88,28.93,30.72,20.35,24.36
2003,21.78,24.93,23.89,23.52,25.52,28.29,29.43,30.53,28.74,23.63,27.4,24.53
2004,22.5,26.72,25.44,26.53,27.89,28.22,29.99,30.7,26.41,26.64,20.06,23.87
2005,24.96,24.28,27.02,21.97,24.89,28.24,26.64,29.01,29.27,22.45,21.4,27.06
2006,22.17,25.22,26.38,25.02,26.67,24.92,28.69,30.92,30.74,29.2,20.46,24.68
2007,19.87,21.54,20.06,23.39,23.89,23.19,25.85,28.25,29.38,21.23,22.32,24.25
2008,25.77,27.35,23.66,28.4,24.5,25.27,27.32,27.36,29.59,26.78,20.98,26.76
2009,24.85,28.06,28.14,27.36,30,28.64,31.6,32.14,30.56,27.55,22.69,28.71
2010,23.52,25.59,28.75,25.2,26.48,29.46,29.85,31.83,31.28,24.65,28.77,25.11
2011,24.17,25.61,26.99,26.1,26.09,25.47,25.01,28.14,27.59,22.01,26.21,24.45
2012,21.29,25.86,27.06,23.64,24.17,25.59,29.6,32.3,32.8,27.48,28.38,27.51
2013,32,27.5,26.18,25.99,27.34,29.27,32.54,33.39,29.94,24.75,30.84,28.57
2014,26.93,26.88,24,25.42,26.59,29.48,29.86,31.84,32.25,23.77,21.13,24.46
2015,25.4,23.27,26.44,24.67,29.84,33.02,33.66,33.9,23.07,25.58,22.8,26.71
2016,27.86,22.94,25.93,999.99,999.99,31.13,31.81,999.99,30.87,28.15,21.69,28.4
2017,28.42,27.76,26.08,23.74,22.49,27.88,28.98,29.75,999.99,28.85,27.89,27.15
2018,28.46,25.82,31.23,27.93,28.5,29.69,33.22,33.89,30.34,30.91,24.5,24.48
2019,24.33,32.18,32.96,28.44,31.8,32.28,33.11,31.7,30.36,27.79,29.17,28.71
2020,23.18,27.65,30.25,30.76,27.75,29.03,31.61,31.38,30.7,27.69,26.61,25.67
2021,27.00,29.41,28.50,28.23,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
