EGG ISLAND LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE TEMPERATURES (C),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1970,999.99,999.99,8.07,8.11,9.64,11.53,11.76,12.41,10.38,9.02,8.05,6.86
1971,6.52,6.34,6.27,7.18,8.68,10.28,13.10,12.71,11.67,9.55,7.81,6.36
1972,5.40,5.48,6.52,7.12,9.35,11.00,12.48,13.29,10.61,8.66,7.68,6.59
1973,6.21,6.28,6.89,7.94,9.58,11.19,12.86,13.12,11.15,9.21,7.02,7.05
1974,6.28,6.50,6.85,8.30,9.57,11.01,12.31,13.43,11.96,10.03,8.78,7.60
1975,6.60,5.76,6.47,7.47,9.98,11.56,13.05,12.00,11.05,9.38,8.01,6.86
1976,6.84,6.36,6.48,7.95,9.23,12.55,12.42,12.51,11.66,10.05,8.55,7.53
1977,6.88,7.85,7.29,8.62,10.20,11.64,13.35,13.80,10.98,9.86,8.33,7.22
1978,7.17,7.42,7.65,8.81,10.02,12.05,13.33,13.26,11.63,11.29,8.46,6.83
1979,5.96,5.80,7.04,8.39,10.59,12.57,12.65,13.12,13.13,10.31,9.40,8.82
1980,7.55,7.61,7.78,8.38,10.02,12.64,13.69,12.39,10.83,10.28,10.20,8.37
1981,8.52,8.15,8.54,8.75,10.55,11.83,12.99,13.32,11.74,11.09,9.55,8.64
1982,7.28,7.07,7.20,8.13,9.37,12.46,12.79,12.35,10.69,9.49,8.76,8.30
1983,8.25,8.27,8.91,9.80,11.39,12.45,13.07,13.64,11.81,10.13,9.36,8.27
1984,7.88,7.86,8.27,8.57,9.98,11.87,13.24,13.28,11.27,9.78,8.38,7.25
1985,7.24,6.96,6.98,7.83,9.49,11.69,13.73,11.42,10.35,9.13,7.13,6.81
1986,6.93,6.46,7.54,8.40,9.31,11.43,12.01,13.08,11.30,9.89,9.45,8.09
1987,7.89,7.80,8.44,9.08,10.08,11.60,12.97,13.10,11.17,10.94,9.68,8.67
1988,7.82,7.88,7.91,8.59,10.12,11.53,12.84,12.34,11.02,10.09,9.33,8.47
1989,7.45,6.47,6.98,8.56,10.56,11.21,12.43,12.48,11.08,9.71,9.02,8.48
1990,7.72,6.90,7.64,8.86,9.91,11.26,12.65,13.03,11.42,9.47,8.64,7.45
1991,6.96,7.13,7.02,8.21,9.79,11.25,11.95,12.18,11.41,9.63,8.63,8.02
1992,7.75,7.92,8.73,9.12,10.80,12.15,12.69,12.11,10.93,9.89,9.27,8.13
1993,6.96,7.51,7.85,8.43,10.60,12.09,12.45,12.56,11.20,9.74,8.87,7.91
1994,8.06,8.10,8.04,9.01,10.18,11.45,12.63,12.74,11.32,9.77,8.36,7.56
1995,7.59,7.55,8.00,8.85,10.31,11.81,12.63,11.99,11.33,11.09,9.36,8.46
1996,7.92,7.74,8.23,8.99,10.27,11.82,12.45,12.89,11.23,999.99,8.88,7.41
1997,7.78,7.89,7.64,8.73,10.58,12.83,13.35,12.77,13.67,12.58,10.29,9.51
1998,8.50,8.94,9.27,9.95,11.09,12.19,13.06,13.52,11.66,10.40,10.02,8.98
1999,8.53,7.75,7.84,8.66,10.28,10.90,11.68,11.74,10.93,9.38,8.38,8.57
2000,7.07,7.13,7.47,8.29,9.27,10.83,12.43,12.13,10.38,9.30,8.64,8.03
2001,7.44,7.12,7.00,7.84,8.34,10.77,11.46,10.86,10.66,9.06,8.30,7.37
2002,7.48,7.38,7.18,8.31,10.18,11.50,12.69,13.12,10.86,9.78,9.13,8.42
2003,8.21,8.15,8.55,9.19,10.63,11.82,13.46,13.22,11.89,10.63,8.87,7.45
2004,8.00,7.50,7.77,9.22,11.16,12.70,13.66,999.99,999.99,10.37,999.99,8.51
2005,7.73,7.59,8.62,9.06,11.53,13.00,13.29,14.12,12.17,10.04,9.27,8.26
2006,7.97,7.15,7.28,8.21,9.85,11.89,13.39,13.03,10.98,9.16,7.58,7.59
2007,6.86,7.02,6.98,7.50,999.99,13.95,13.57,14.26,11.28,9.04,8.43,7.27
2008,6.67,6.46,6.70,7.25,9.53,10.95,12.12,11.68,10.99,9.10,8.40,7.72
2009,6.37,6.24,6.23,7.63,9.10,12.54,13.14,12.91,999.99,10.63,8.43,7.35
2010,7.78,7.90,8.37,8.83,10.08,11.76,12.45,12.88,10.49,10.86,8.79,7.54
2011,6.88,6.67,6.80,7.71,9.82,12.02,12.72,12.58,11.04,9.79,8.78,7.09
2012,6.71,6.46,6.35,7.62,9.35,11.22,12.94,13.31,9.25,9.10,8.56,7.89
2013,7.23,7.18,7.53,8.68,10.70,12.13,13.70,13.23,12.29,999.99,8.45,7.56
2014,7.55,6.75,7.56,9.59,11.43,11.76,13.97,14.06,12.22,12.47,9.90,8.82
2015,8.39,8.92,9.22,9.63,11.61,13.66,14.27,14.22,12.06,11.14,9.81,8.41
2016,7.77,8.50,8.83,10.02,11.96,13.01,14.23,13.04,11.02,10.33,10.07,8.00
2017,7.19,6.98,7.51,9.33,11.22,12.22,14.00,13.98,11.87,9.92,8.37,7.90
2018,7.67,7.10,7.61,8.71,11.56,12.71,14.79,14.06,11.94,10.02,9.35,8.56
2019,8.06,7.20,7.83,8.90,11.05,12.91,14.65,13.52,12.04,10.12,9.30,8.11
2020,7.51,7.18,7.25,8.58,10.63,12.39,13.69,13.79,12.86,11.02,8.70,7.94
2021,7.32,6.95,7.15,9.28,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
