ENTRANCE ISLAND LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE SALINITIES (PSU),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1936,999.99,999.99,999.99,999.99,22.09,20.76,21.50,24.21,26.03,27.73,28.94,28.62
1937,29.28,29.90,29.34,29.01,27.66,23.84,21.08,25.28,25.38,27.58,26.67,28.34
1938,28.19,28.22,28.20,28.13,25.36,23.89,24.88,26.15,25.42,28.27,28.95,28.92
1939,27.60,28.89,28.39,29.25,26.94,24.21,23.07,26.49,27.19,27.77,26.49,24.47
1940,26.99,27.20,27.23,26.74,23.06,25.80,25.52,25.84,25.30,27.05,27.70,26.47
1941,27.26,27.63,28.01,27.61,26.71,25.45,25.96,27.22,26.32,26.77,27.35,27.66
1942,28.10,27.99,29.00,28.76,25.97,22.74,22.56,24.92,27.37,28.37,28.98,28.81
1943,28.85,29.29,29.38,28.28,27.10,25.76,23.71,23.15,26.24,27.43,28.71,28.91
1944,29.25,29.35,29.61,29.63,28.51,26.59,25.75,26.05,26.04,26.74,27.53,27.78
1945,28.03,28.38,29.35,29.33,26.80,24.25,24.92,26.57,27.59,28.49,28.90,28.47
1946,28.68,29.10,28.66,28.58,26.20,21.60,21.87,24.91,26.10,28.40,29.17,28.75
1947,29.53,28.79,28.79,28.78,27.02,24.16,22.87,24.90,26.81,28.47,26.89,28.31
1948,27.69,29.04,29.09,29.12,27.13,20.00,22.95,25.36,25.11,27.17,28.39,28.29
1949,29.00,29.10,28.63,28.89,26.51,24.38,23.41,24.20,25.83,27.87,28.12,26.95
1950,28.30,28.77,28.08,27.68,27.03,22.79,18.96,22.20,25.98,27.37,27.03,26.39
1951,27.33,26.14,27.60,27.94,25.12,25.79,22.79,25.06,27.55,27.63,28.42,28.72
1952,29.64,28.08,29.15,29.23,26.51,24.29,22.62,25.61,27.11,27.90,29.03,29.69
1953,28.74,27.66,28.63,28.59,26.55,23.47,22.67,25.55,26.88,27.49,27.67,26.10
1954,27.42,28.09,27.53,28.56,27.68,23.81,21.21,21.70,23.52,26.45,26.34,27.05
1955,26.92,27.68,28.81,28.67,28.20,26.31,21.37,21.87,26.15,27.95,27.43,27.92
1956,28.70,28.88,28.97,28.04,26.72,22.29,23.93,24.81,26.98,27.22,26.88,27.67
1957,28.00,29.12,28.46,28.02,25.80,21.64,22.67,22.85,25.40,27.68,28.18,28.78
1958,27.62,26.67,26.99,26.98,26.76,21.48,23.19,25.91,27.16,27.19,27.26,28.15
1959,27.34,27.38,28.57,27.99,25.91,23.21,22.95,25.35,24.71,25.37,27.31,27.54
1960,27.89,27.19,28.60,27.27,26.08,23.22,23.34,24.55,24.90,27.88,26.93,27.47
1961,26.87,27.05,26.49,27.12,24.66,23.18,23.48,25.37,26.91,27.67,28.52,28.19
1962,27.02,27.19,28.67,28.66,26.26,25.38,22.72,24.70,25.82,27.71,27.68,25.85
1963,26.15,26.45,27.70,27.86,26.73,24.98,22.29,23.44,24.94,26.70,27.02,27.18
1964,27.66,27.46,28.24,28.53,26.84,21.33,20.77,22.98,24.85,24.67,27.90,27.97
1965,28.65,27.85,27.89,28.10,26.12,24.44,22.15,23.80,26.72,28.10,26.02,27.40
1966,27.92,27.81,28.23,27.41,26.17,24.58,20.39,23.36,25.15,27.44,27.74,27.06
1967,27.11,26.49,27.47,27.66,26.39,22.28,20.95,21.66,25.69,27.07,26.10,27.23
1968,28.04,25.50,26.87,27.06,26.60,23.14,21.56,24.34,25.27,28.21,25.98,28.07
1969,27.62,28.02,28.08,27.18,25.90,21.18,21.22,24.00,26.29,26.08,26.85,27.73
1970,28.00,27.70,28.52,28.60,27.50,25.58,26.17,25.72,27.94,28.57,28.76,29.05
1971,28.56,28.50,28.97,28.55,26.16,24.40,22.60,23.20,26.02,27.04,27.56,28.14
1972,28.52,28.52,27.16,27.20,25.65,20.84,23.10,23.25,26.39,27.59,28.05,28.28
1973,28.04,27.74,27.89,28.41,26.87,24.00,23.85,25.11,27.29,28.07,28.12,27.32
1974,27.27,27.59,27.03,26.83,24.44,23.59,20.29,24.11,25.47,27.69,28.11,28.22
1975,28.62,28.94,28.89,29.30,28.32,26.12,23.10,25.23,25.83,27.73,26.42,26.13
1976,26.72,27.41,27.78,27.73,27.12,22.49,21.38,21.81,21.01,25.59,26.92,27.77
1977,27.78,27.81,28.92,29.26,26.63,25.00,24.51,25.46,26.21,27.96,27.74,26.84
1978,27.24,27.52,27.65,27.95,27.51,25.54,23.84,24.64,25.77,26.04,27.50,28.54
1979,29.14,29.23,28.15,28.24,26.66,25.41,24.66,24.86,26.40,27.37,27.90,28.11
1980,27.65,27.61,27.78,27.98,26.10,23.82,22.45,26.11,27.14,27.43,28.18,27.29
1981,25.94,27.72,27.99,28.18,25.97,25.00,23.15,25.31,27.22,27.30,26.74,27.29
1982,27.65,27.64,27.40,28.13,27.36,22.03,21.00,22.60,25.76,27.60,27.10,27.53
1983,27.62,27.38,27.03,27.21,27.16,25.74,24.25,25.49,27.17,27.47,28.03,27.43
1984,27.00,28.00,27.96,28.12,27.32,26.03,22.69,24.38,26.05,27.01,27.73,28.37
1985,28.74,29.54,29.62,29.69,28.24,25.87,25.35,27.89,28.31,29.27,27.80,29.07
1986,28.46,28.84,28.32,28.21,27.31,25.16,24.16,26.39,27.78,28.37,29.14,28.61
1987,29.31,28.59,27.69,27.98,27.95,25.29,26.02,27.05,28.21,28.92,29.48,29.41
1988,29.39,29.57,29.70,28.88,26.26,23.86,23.55,26.63,28.36,28.35,28.51,29.03
1989,28.83,28.59,29.49,29.03,26.91,25.90,26.15,26.24,27.80,28.85,28.06,27.41
1990,28.01,28.48,28.55,27.94,26.68,23.16,22.96,26.30,27.64,29.03,27.01,26.53
1991,27.25,26.20,27.36,27.70,26.70,25.60,24.61,24.12,25.77,28.41,28.56,28.68
1992,28.39,28.11,27.56,28.00,27.36,26.30,25.22,27.60,28.60,29.05,28.16,29.07
1993,29.30,29.37,29.49,29.32,26.65,22.10,25.98,26.62,28.02,29.21,29.90,29.35
1994,28.96,28.97,28.34,28.05,25.95,23.63,24.64,23.94,26.86,29.73,29.60,29.49
1995,28.75,27.31,28.49,28.06,28.77,26.21,26.67,26.23,27.36,28.07,27.11,26.20
1996,26.25,27.27,27.59,28.14,25.28,23.72,24.58,26.27,26.69,28.12,28.10,28.64
1997,26.99,26.85,28.27,26.88,24.96,21.53,20.79,24.20,25.40,25.87,25.11,27.46
1998,27.64,27.44,26.99,27.61,26.95,25.69,25.44,25.45,27.03,29.19,29.08,28.41
1999,28.24,29.11,28.33,28.08,26.53,24.60,20.21,20.11,24.67,28.29,28.30,27.88
2000,28.43,28.40,28.67,28.91,27.58,25.89,24.56,25.20,25.93,27.66,28.76,28.88
2001,29.41,29.77,29.92,30.32,29.00,25.95,25.05,26.35,28.13,28.97,28.64,29.11
2002,28.35,28.66,29.20,29.32,28.01,24.08,21.99,26.53,27.35,29.05,29.70,29.72
2003,29.26,28.72,29.48,29.28,999.99,27.20,25.65,26.63,28.44,26.84,27.38,28.76
2004,28.94,28.04,29.05,28.73,28.75,22.96,25.71,26.70,25.96,27.34,28.68,28.40
2005,27.24,24.22,28.93,28.86,27.96,23.05,25.01,26.45,28.40,29.12,28.76,29.18
2006,28.81,27.71,29.04,29.18,29.36,23.67,25.52,27.82,29.00,29.65,29.17,29.24
2007,28.70,29.28,28.08,27.97,26.88,23.91,23.47,24.21,26.57,27.67,28.02,28.26
2008,29.46,29.39,29.34,29.08,29.02,23.17,25.43,25.36,27.21,29.24,30.24,27.09
2009,27.88,28.19,28.36,28.77,26.78,25.88,26.09,26.46,27.19,28.16,28.25,26.13
2010,27.30,26.81,27.36,27.85,26.71,25.11,24.78,26.04,26.31,27.25,27.31,26.84
2011,26.80,26.87,27.35,27.12,22.09,23.53,20.13,21.29,24.45,25.58,999.99,26.66
2012,27.11,27.28,27.35,26.78,23.97,22.70,19.86,22.98,25.86,27.18,26.89,29.49
2013,29.08,29.96,27.09,25.53,25.50,22.60,25.49,24.09,25.42,27.27,28.11,28.76
2014,28.05,28.55,28.99,27.47,24.41,23.19,23.54,25.34,27.14,27.42,25.71,26.30
2015,25.43,25.64,27.78,25.95,24.81,24.90,27.09,27.55,28.17,28.02,28.30,28.10
2016,28.59,26.93,27.55,26.30,25.83,24.14,24.50,26.68,27.85,28.43,27.06,26.96
2017,27.80,27.26,27.48,26.09,22.07,18.95,20.14,22.99,999.99,28.39,28.59,27.22
2018,28.45,27.65,28.08,27.14,999.99,999.99,999.99,999.99,999.99,28.55,28.21,27.75
2019,999.99,999.99,28.92,28.66,28.47,25.86,26.73,25.18,27.53,27.98,28.18,28.79
2020,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,27.55,28.33,27.72
2021,27.36,999.99,29.28,28.57,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
