KAINS ISLAND LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE SALINITIES (PSU),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1935,28.80,27.76,29.10,30.36,31.35,31.45,31.81,32.50,32.41,31.26,31.10,29.99
1936,30.02,31.13,29.85,30.32,30.77,30.73,29.75,31.43,31.75,31.79,30.40,30.30
1937,31.31,30.85,30.10,29.52,29.48,31.32,31.49,31.55,31.62,31.09,29.09,29.36
1938,29.00,29.60,29.93,30.07,31.38,32.24,32.61,32.57,32.16,31.06,29.66,29.27
1939,28.32,29.72,30.68,30.70,30.44,999.99,31.72,32.41,31.70,31.22,27.73,26.23
1940,29.03,28.96,28.69,29.83,30.28,31.77,32.07,31.74,31.68,29.08,29.43,29.15
1941,28.69,27.77,29.78,30.54,30.87,31.52,31.95,32.43,31.67,30.31,29.66,28.26
1942,29.93,29.99,29.45,29.76,30.28,31.21,31.97,32.59,32.46,31.29,30.34,28.72
1943,29.79,29.85,30.41,29.93,30.61,31.65,32.11,32.40,31.90,31.23,30.37,30.31
1944,29.08,30.24,31.36,31.49,31.87,32.34,32.43,32.35,31.94,30.24,28.67,29.69
1945,29.70,30.31,30.42,30.46,30.90,31.43,32.18,32.52,32.06,31.72,30.21,29.07
1946,28.35,28.94,28.53,29.47,30.13,31.04,31.31,32.06,31.86,31.06,30.89,29.22
1947,29.32,28.74,30.22,30.57,30.55,31.48,31.00,31.85,32.07,29.70,29.27,29.69
1948,28.86,30.09,30.42,30.60,30.64,31.20,31.89,31.98,30.17,29.50,29.50,29.17
1949,30.16,30.85,30.27,29.63,29.94,31.42,32.01,31.47,31.78,31.19,30.50,29.31
1950,31.40,29.59,28.92,28.86,29.95,30.87,31.49,31.68,31.36,30.26,28.43,28.06
1951,29.27,29.04,30.56,31.25,31.26,31.83,32.53,32.54,32.38,31.82,30.90,29.92
1952,30.35,28.18,30.28,29.25,29.81,30.89,31.58,32.25,31.86,31.32,30.54,29.37
1953,29.61,28.10,29.84,30.15,30.57,31.21,31.61,31.76,31.04,29.56,27.51,27.99
1954,29.50,29.26,29.31,30.45,31.50,31.22,31.10,31.82,31.09,29.86,28.38,27.48
1955,28.85,29.90,31.24,31.18,31.23,31.68,31.81,31.79,31.69,30.35,30.31,29.66
1956,29.26,29.78,29.95,29.95,31.02,31.22,31.48,32.15,32.06,30.35,29.34,28.78
1957,29.66,30.67,30.38,30.07,30.80,31.40,31.05,31.18,31.39,31.66,29.87,28.47
1958,27.95,28.78,29.20,29.91,31.13,31.95,32.45,32.15,31.19,29.70,29.71,28.60
1959,28.62,29.78,28.87,30.00,30.27,30.81,31.47,32.07,31.61,31.16,30.61,29.11
1960,29.65,29.54,30.08,29.20,29.54,30.23,31.75,31.58,31.09,30.21,28.99,29.20
1961,28.81,27.99,28.14,29.67,30.56,31.01,31.62,32.24,31.41,30.38,30.10,29.58
1962,28.68,29.49,31.06,30.51,30.31,31.45,32.18,31.86,32.21,27.43,28.30,26.18
1963,28.92,28.92,29.77,30.28,29.89,31.28,31.45,31.93,30.94,28.54,27.55,28.49
1964,28.33,28.50,29.89,30.49,31.25,31.46,31.02,30.99,31.24,29.15,29.42,29.86
1965,29.48,28.28,30.10,30.83,30.76,32.08,32.48,32.56,32.69,29.18,29.03,28.56
1966,27.85,28.86,29.30,29.63,30.87,31.35,31.55,31.78,31.44,30.02,29.19,28.38
1967,27.60,27.29,29.39,29.93,30.06,31.07,31.49,31.73,29.78,27.92,28.64,28.55
1968,28.53,28.92,28.78,29.29,30.66,31.38,31.40,31.65,30.50,28.55,28.00,28.25
1969,29.96,29.75,30.04,28.51,29.98,30.60,31.41,31.12,30.93,27.75,28.42,28.69
1970,29.69,29.67,29.70,30.38,30.55,32.00,32.61,32.46,32.29,31.75,31.28,30.66
1971,29.15,28.19,29.85,29.56,30.76,31.71,31.49,31.75,30.40,29.38,27.61,29.57
1972,30.31,29.87,28.28,28.34,29.70,31.25,32.07,32.13,31.70,31.77,30.41,29.78
1973,28.80,29.13,29.76,30.30,30.73,31.20,31.85,32.58,32.33,30.74,30.24,28.56
1974,29.04,28.47,28.83,28.90,29.84,31.12,31.47,32.27,31.97,31.84,30.65,29.37
1975,29.39,30.54,29.82,31.02,31.67,32.16,32.55,31.94,32.27,30.95,27.74,29.16
1976,28.85,28.88,29.72,29.61,29.96,29.98,30.83,31.46,30.85,31.05,29.84,28.34
1977,30.19,30.13,29.29,30.57,31.10,31.90,32.25,32.68,31.89,31.15,29.03,29.13
1978,29.68,29.82,29.61,30.41,31.41,31.85,32.69,32.36,31.34,29.99,29.45,30.70
1979,31.38,30.73,29.80,31.05,31.71,32.22,32.50,32.61,31.42,30.97,30.28,28.89
1980,28.67,29.41,29.18,29.70,29.94,31.17,31.27,31.66,30.56,30.36,28.49,27.45
1981,27.78,28.20,28.48,28.58,29.03,29.73,30.58,31.52,30.67,29.00,27.44,28.75
1982,28.33,27.78,28.41,29.03,29.51,30.98,31.34,31.33,30.39,29.86,28.56,28.74
1983,27.90,27.75,27.60,28.86,30.06,30.14,30.03,30.25,30.63,30.33,28.58,29.26
1984,28.16,27.76,28.18,28.89,29.22,30.67,30.65,30.68,30.07,29.26,29.22,28.91
1985,30.05,29.99,30.11,29.84,30.05,31.17,31.74,32.40,31.98,30.59,29.58,31.25
1986,28.66,29.44,29.58,28.43,29.78,30.44,31.04,32.14,31.84,31.52,30.09,29.15
1987,29.00,28.43,29.21,29.40,30.45,30.42,31.47,31.94,31.86,31.52,28.53,28.64
1988,29.72,29.48,29.44,29.40,29.45,29.42,30.69,31.41,31.68,30.21,28.27,28.46
1989,28.49,28.45,28.81,29.30,30.40,31.93,31.77,32.34,32.64,31.05,29.78,29.62
1990,30.23,29.91,29.63,30.79,31.78,32.03,31.81,32.28,32.34,31.08,28.19,27.81
1991,29.72,28.70,30.05,30.42,31.32,32.04,32.53,32.19,31.69,32.23,30.62,28.49
1992,27.60,27.07,29.76,30.94,30.12,32.07,32.47,32.62,31.87,30.36,29.47,29.53
1993,30.66,30.41,30.10,28.67,29.84,30.00,31.00,31.45,31.64,31.52,29.64,29.16
1994,30.32,29.75,28.35,29.95,30.95,30.85,31.47,30.91,31.48,30.68,28.14,28.27
1995,29.11,29.14,29.46,29.76,31.37,32.04,32.22,30.90,32.03,29.67,27.94,27.10
1996,26.99,28.97,29.29,28.54,29.46,30.48,31.62,32.03,30.97,31.31,29.37,27.61
1997,27.80,28.81,28.43,28.69,29.36,30.25,30.56,31.47,31.21,29.72,29.30,28.35
1998,28.41,29.13,29.75,30.98,31.92,32.73,32.15,32.78,32.72,31.66,30.49,28.79
1999,29.10,27.83,29.03,29.69,30.41,31.02,31.31,31.39,30.99,31.76,29.55,29.17
2000,29.98,29.92,30.20,30.19,30.05,30.97,31.86,31.65,31.44,31.47,31.13,30.63
2001,30.64,30.43,30.91,30.83,30.58,31.40,31.88,31.71,32.04,31.17,29.48,28.90
2002,29.52,29.28,30.49,29.93,31.80,32.46,31.86,32.90,31.76,31.74,30.21,30.26
2003,29.25,29.68,29.70,28.08,29.46,30.69,30.60,31.55,30.49,29.15,29.85,29.28
2004,28.22,29.37,29.09,30.17,31.17,31.24,31.24,31.68,30.09,30.05,26.55,28.18
2005,28.59,28.67,30.08,28.83,30.65,31.39,31.23,31.09,31.51,28.95,27.87,29.65
2006,28.53,28.65,30.25,30.20,31.09,31.76,31.92,32.54,32.37,32.23,29.80,28.89
2007,27.74,28.93,28.09,28.73,29.63,30.82,31.05,31.43,31.35,29.49,28.11,29.40
2008,29.22,30.00,29.76,30.49,30.97,31.24,31.81,31.55,31.47,30.53,28.93,29.85
2009,29.22,30.13,30.35,30.62,30.96,31.81,32.32,32.69,31.88,31.57,28.56,29.17
2010,29.28,29.23,29.45,29.24,30.47,30.78,31.87,32.50,31.75,28.89,28.95,28.39
2011,28.57,28.83,28.86,29.23,30.24,31.20,31.40,31.76,31.29,29.77,29.60,29.12
2012,29.04,28.74,999.99,31.58,999.99,999.99,30.66,30.69,30.84,30.04,27.81,26.76
2013,27.80,27.22,27.76,28.94,29.81,31.09,31.90,31.77,31.06,30.28,30.25,30.13
2014,29.39,30.06,29.96,29.12,30.19,31.68,31.69,32.52,32.44,29.80,29.64,29.49
2015,29.68,29.02,30.02,28.82,30.91,32.28,32.53,32.59,31.66,31.13,30.66,30.81
2016,30.91,28.80,29.02,29.88,31.64,32.37,32.24,32.93,32.12,31.24,28.08,30.16
2017,30.01,29.92,29.65,29.12,29.84,31.45,31.74,32.01,31.79,29.89,30.84,29.24
2018,30.12,29.36,30.50,30.33,30.87,31.44,31.82,32.40,31.99,31.71,30.27,29.93
2019,27.01,30.63,31.37,31.22,999.99,31.57,999.99,32.58,32.02,27.83,29.51,29.79
2020,27.72,28.95,29.27,30.90,30.98,31.46,31.45,31.40,30.86,29.04,28.70,28.05
2021,28.37,29.16,28.80,30.17,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
